Study,Species,Age\Sex\Size_of_Predator,Sample_size,Sample_type,State\Province,Subregion,Region_code,Year_Start,Year_End,Months,Reference,Diet_data,Age\Size_of_prey,N_prey_items ,Count_type_(FO=frequency_of_occurrence\SSFO=split_sample_frequency_of_occurence\V=volume\M=model\O=feeding event\C=number_count),Percent_salmon,95_Percent_CIs,Percent_chinook ,95_ Percent_CIs,Anecdotal_chinook_abundance(if_species_mentioned\chinook_column_blank),Citation,URL,Comment,Double_count_(RefStudyNum(\s) 
5,Killer Whale,Adult M (57.1percent) F (35.7percent) juv (7.1percent); n =14,22,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,5,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),22,FO,100.0,,100.0,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
5,Killer Whale,Adult M (59.1percent) F (13.6percent) juv (27.3percent); n =22,36,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,9,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),36,FO,100.0,,30.6,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
5,Killer Whale,Adult M (70percent) F (20percent) juv (10percent); n = 10,46,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,6,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),46,FO,100.0,,73.9,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
5,Killer Whale,Adult M (59.1percent) F (37.5percent) juv (27.5percent); n=40,59,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,10,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),59,FO,100.0,,13.6,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
5,Killer Whale,Adult M (23.9percent) F (38.9percent) juv (37.3percent); n=67,109,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,7,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),109,FO,100.0,,86.2,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
5,Killer Whale,Adult M (15.7percent) F (58.7percent) juv (26.5percent); n=121,157,Feeding event,British Columbia,All (coast and islands),D\E,1974,2005,8,Ford and Ellis 2006,Scale and DNA (85percent) feeding event(15percent) from predation events ,Avg: 4.26 years\ Std.Dev: 0.76  (n=159),157,FO,100.0,,88.5,,,Ford  J. K.  and Ellis  G. M. (2006). Selective foraging by fish-eating killer whales Orcinus orca in British Columbia. Marine Ecology Progress Series  316  185-199.,http://relicensing.douglaspud.org/background/downloads/Ford_and_Ellis_2006.pdf,Table 7. monthly salmon kills (other fish species negligible- only 7 fish could be identified over the 8 month sampling period). Sample sizes are reported as the same value as # prey items. Female whales consumed 54.5percent of the chinook observed eaten while males consumed 24.6percent and juveniles 21.1percent (table 8; n=274). Additional data on predation by whale demographics (age. sex. pod),3\4\106\107\108
6,Killer Whale,M\F- adult\ juv,15,Feeding event,British Columbia,Strait of Juan de Fuca and San Juan Islands,D,2004,2008,5,Hanson et al 2010,Scale\ DNA (Fecal or Regurgitation),,17,FO,100.0,,64.7,,,Hanson  M.  Baird  R. W.  Ford  J. K.  Hempelmann-Halos  J.  Van Doornik  D. M.  Candy  J. R.  ... and Ford  M. J. (2010). Species and stock identification of prey consumed by endangered southern resident killer whales in their summer range. Endangered Species Research  11(1)  69-82.,http://relicensing.douglaspud.org/background/downloads/Hanson_et_al._2010.pdf,Table 2. salmon kills. This study also includes collection effort data in a separate table.,
6,Killer Whale,M\F- adult\ juv,53,Feeding event,British Columbia,Strait of Juan de Fuca and San Juan Islands,D,2004,2008,7,Hanson et al 2010,Scale\ DNA (Fecal or Regurgitation),,49,FO,100.0,,95.9,,,Hanson  M.  Baird  R. W.  Ford  J. K.  Hempelmann-Halos  J.  Van Doornik  D. M.  Candy  J. R.  ... and Ford  M. J. (2010). Species and stock identification of prey consumed by endangered southern resident killer whales in their summer range. Endangered Species Research  11(1)  69-82.,http://relicensing.douglaspud.org/background/downloads/Hanson_et_al._2010.pdf,Table 2. salmon kills. This study also includes collection effort data in a separate table.,
6,Killer Whale,M\F- adult\ juv,84,Feeding event,British Columbia,Strait of Juan de Fuca and San Juan Islands,D,2004,2008,8,Hanson et al 2010,Scale\ DNA (Fecal or Regurgitation),,74,FO,97.3,,90.5,,,Hanson  M.  Baird  R. W.  Ford  J. K.  Hempelmann-Halos  J.  Van Doornik  D. M.  Candy  J. R.  ... and Ford  M. J. (2010). Species and stock identification of prey consumed by endangered southern resident killer whales in their summer range. Endangered Species Research  11(1)  69-82.,http://relicensing.douglaspud.org/background/downloads/Hanson_et_al._2010.pdf,Table 2. salmon kills. This study also includes collection effort data in a separate table.,
6,Killer Whale,M\F- adult\ juv,89,Feeding event,British Columbia,Strait of Juan de Fuca and San Juan Islands,D,2004,2008,9,Hanson et al 2010,Scale\ DNA (Fecal or Regurgitation),,74,FO,93.2,,56.8,,,Hanson  M.  Baird  R. W.  Ford  J. K.  Hempelmann-Halos  J.  Van Doornik  D. M.  Candy  J. R.  ... and Ford  M. J. (2010). Species and stock identification of prey consumed by endangered southern resident killer whales in their summer range. Endangered Species Research  11(1)  69-82.,http://relicensing.douglaspud.org/background/downloads/Hanson_et_al._2010.pdf,Table 2. salmon kills. This study also includes collection effort data in a separate table.,
6,Killer Whale,M\F- adult\ juv,98,Feeding event,British Columbia,Strait of Juan de Fuca and San Juan Islands,D,2004,2008,6,Hanson et al 2010,Scale\ DNA (Fecal or Regurgitation),,95,FO,97.9,,89.5,,,Hanson  M.  Baird  R. W.  Ford  J. K.  Hempelmann-Halos  J.  Van Doornik  D. M.  Candy  J. R.  ... and Ford  M. J. (2010). Species and stock identification of prey consumed by endangered southern resident killer whales in their summer range. Endangered Species Research  11(1)  69-82.,http://relicensing.douglaspud.org/background/downloads/Hanson_et_al._2010.pdf,Table 2. salmon kills. This study also includes collection effort data in a separate table.,
7,Harbor Seal,M\F,196,scat sample,Washington,San Juan Islands,D,2007,2008,6--9 ,Howard et al 2012,scat sample (otolith\ bone),,251,M (biomass reconstruction) ,15.0,,0.2,,,Howard  Sarah M. S.  Monique M. Lance  Steven J. Jeffries  and Alejandro Acevedo-Gutiérrez. “Fish Consumption by Harbor Seals (Phoca Vitulina) in the San Juan Islands  Washington.” Fishery Bulletin 111  no. 1 (December 27  2013). doi:10.7755 FB.111.1.3.,http://fisherybulletin.nmfs.noaa.gov/1111/howard.pdf,Table 2. estimates of wet biomass - model contains percent ranges for estimates (see table for values). Authors note the ranges are high and that the average value best represents a maximum diet proportion.  ,105
7,Harbor Seal,M\F,361,scat sample,Washington,San Juan Islands,D,2007,2008,9--6 ,Howard et al 2012,scat sample (otolith\ bone),,364,M (biomass reconstruction) ,9.0,,1.6,,,Howard  Sarah M. S.  Monique M. Lance  Steven J. Jeffries  and Alejandro Acevedo-Gutiérrez. “Fish Consumption by Harbor Seals (Phoca Vitulina) in the San Juan Islands  Washington.” Fishery Bulletin 111  no. 1 (December 27  2013). doi:10.7755 FB.111.1.3.,http://fisherybulletin.nmfs.noaa.gov/1111/howard.pdf,Table 2. estimates of wet biomass - model contains percent ranges for estimates (see table for values). Authors note the ranges are high and that the average value best represents a maximum diet proportion.  ,105
8,Harbor Seal,M\F,46,scat sample,Washington,San Juan Islands,D,2005,2006,12--2,Lance and Jeffries 2006,scat sample (otolith\ bone),,110,FO,13.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2006). Estimating importance of rockfish  lingcod and other bottomfish in the diet of harbor seals in the San Juan Islands.Contract Report to SeaDoc Society Research Agreement  (K004431-22).,http://wdfw.wa.gov/publications/00428/wdfw00428.pdf,Table 1. Percentage occurrence (FO) and overall weighted average of prey species in the diet of harbor seals by season in the San Juan Islands  2005-08,105
8,Harbor Seal,M\F,77,scat sample,Washington,San Juan Islands,D,2005,2006,3--5,Lance and Jeffries 2006,scat sample (otolith\ bone),,143,FO,0.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2006). Estimating importance of rockfish  lingcod and other bottomfish in the diet of harbor seals in the San Juan Islands.Contract Report to SeaDoc Society Research Agreement  (K004431-22).,http://wdfw.wa.gov/publications/00428/wdfw00428.pdf,Table 1. Percentage occurrence (FO) and overall weighted average of prey species in the diet of harbor seals by season in the San Juan Islands  2005-06,105
8,Harbor Seal,M\F,384,scat sample,Washington,San Juan Islands,D,2005,2006,8--10,Lance and Jeffries 2006,scat sample (otolith\ bone),,623,FO,80.0,,2.6,,,Lance  M. M.  and Jeffries  S. J. (2006). Estimating importance of rockfish  lingcod and other bottomfish in the diet of harbor seals in the San Juan Islands.Contract Report to SeaDoc Society Research Agreement  (K004431-22).,http://wdfw.wa.gov/publications/00428/wdfw00428.pdf,Table 1. Percentage occurrence (FO) and overall weighted average of prey species in the diet of harbor seals by season in the San Juan Islands  2005-07,105
8,Harbor Seal,M\F,97,scat sample,Washington,San Juan Islands,D,2006,2007,3--4,Lance and Jeffries 2007,scat sample (otolith\ bone),,159,FO,7.2,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2007). Temporal and spatial variability of harbor seal diet in the San Juan Island archipelago. Contract Report to SeaDoc Society Research Agreement  (K004431-25).,http://wdfw.wa.gov/publications/00432/wdfw00432.pdf,Table 1. Frequency of occurrence (FO- expressed as percent) and overall weighted average of prey species in the diet of harbor seals by season in the San Juan Islands  2006-07,105
8,Harbor Seal,M\F,239,scat sample,Washington,San Juan Islands,D,2006,2007,8--9,Lance and Jeffries 2007,scat sample (otolith\ bone),,499,FO,67.0,,3.3,,,Lance  M. M.  and Jeffries  S. J. (2007). Temporal and spatial variability of harbor seal diet in the San Juan Island archipelago. Contract Report to SeaDoc Society Research Agreement  (K004431-25).,http://wdfw.wa.gov/publications/00432/wdfw00432.pdf,Table 1. Frequency of occurrence (FO- expressed as percent) and overall weighted average of prey species in the diet of harbor seals by season in the San Juan Islands  2006-08,105
8,Harbor Seal,M\F,392,scat sample,Washington,San Juan Islands,D,2006,2007,12--1,Lance and Jeffries 2007,scat sample (otolith\ bone),,152,FO,13.0,,1.8,,,Lance  M. M.  and Jeffries  S. J. (2007). Temporal and spatial variability of harbor seal diet in the San Juan Island archipelago. Contract Report to SeaDoc Society Research Agreement  (K004431-25).,http://wdfw.wa.gov/publications/00432/wdfw00432.pdf,Table 1. Frequency of occurrence (FO- expressed as percent) and overall weighted average of prey species in the diet of harbor seals by season in the San Juan Islands  2006-09,105
9,Harbor Seal,M\F,20,scat sample,Washington,South Puget Sound,D,1995,1995,Fall,Lance and Jeffries 2009,scat sample (otolith\ bone),,59,FO,0.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 8. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall 1995\ spring 1997\ summer 1997\ winter 1997 and fall 2004 in south Puget Sound- Washington.,
9,Harbor Seal,M\F,21,scat sample,Washington,South Puget Sound,D,1997,1997,Summer,Lance and Jeffries 2009,scat sample (otolith\ bone),,61,FO,24.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 8. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall 1995\ spring 1997\ summer 1997\ winter 1997 and fall 2004 in south Puget Sound- Washington.,
9,Harbor Seal,M\F,83,scat sample,Washington,South Puget Sound,D,1997,1997,Winter,Lance and Jeffries 2009,scat sample (otolith\ bone),,220,FO,11.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 8. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall 1995\ spring 1997\ summer 1997\ winter 1997 and fall 2004 in south Puget Sound- Washington.,
9,Harbor Seal,M\F,123,scat sample,Washington,South Puget Sound,D,1997,1997,Spring,Lance and Jeffries 2009,scat sample (otolith\ bone),,394,FO,28.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 8. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall 1995\ spring 1997\ summer 1997\ winter 1997 and fall 2004 in south Puget Sound- Washington.,
9,Harbor Seal,M\F,591,scat sample,Washington,Puget Sound (Hood Canal),D,1998,1998,7--12 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,1022,FO,26.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 5. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall (July – early December) of 1998\ 1999\ 2000\ 2001\ 2003 and 2004 by year in Hood Canal- Washington,
9,Harbor Seal,M\F,195,scat sample,Washington,Puget Sound (Hood Canal),D,1999,1999,3--6 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,435,FO,16.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 7. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during spring (March-June) 1999 and 2005 in Hood Canal- Washington.,
9,Harbor Seal,M\F,400,scat sample,Washington,Puget Sound (Hood Canal),D,1999,1999,7--12 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,715,FO,29.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 5. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall (July – early December) of 1998\ 1999\ 2000\ 2001\ 2003 and 2004 by year in Hood Canal- Washington,
9,Harbor Seal,M\F,596,scat sample,Washington,Puget Sound (Hood Canal),D,2000,2000,7--12 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,1153,FO,27.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 5. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall (July – early December) of 1998\ 1999\ 2000\ 2001\ 2003 and 2004 by year in Hood Canal- Washington,
9,Harbor Seal,M\F,417,scat sample,Washington,Puget Sound (Hood Canal),D,2001,2001,7--12 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,764,FO,35.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 5. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall (July – early December) of 1998\ 1999\ 2000\ 2001\ 2003 and 2004 by year in Hood Canal- Washington,
9,Harbor Seal,M\F,119,scat sample,Washington,Puget Sound (Hood Canal),D,2003,2003,7--12 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,204,FO,24.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 5. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall (July – early December) of 1998\ 1999\ 2000\ 2001\ 2003 and 2004 by year in Hood Canal- Washington,
9,Harbor Seal,M\F,170,scat sample,Washington,Puget Sound (Hood Canal),D,2004,2004,7--12 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,314,FO,34.0,,0.6,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 5. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall (July – early December) of 1998\ 1999\ 2000\ 2001\ 2003 and 2004 by year in Hood Canal- Washington,
9,Harbor Seal,M\F,64,scat sample,Washington,South Puget Sound,D,2004,2004,Fall,Lance and Jeffries 2009,scat sample (otolith\ bone),,169,FO,16.0,,0.0,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 8. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during fall 1995\ spring 1997\ summer 1997\ winter 1997 and fall 2004 in south Puget Sound- Washington.,
9,Harbor Seal,M\F,204,scat sample,Washington,Puget Sound (Hood Canal),D,2005,2005,3--6 ,Lance and Jeffries 2009,scat sample (otolith\ bone),,452,FO,13.0,,2.5,,,Lance  M. M.  and Jeffries  S. J. (2009). Harbor seal diet in Hood Canal  south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.,http://wdfw.wa.gov/publications/01423/wdfw01423.pdf,Table 7. Percent frequency of occurrence (FO) of prey species identified using all structures (bone and otoliths) in harbor seal scats during spring (March-June) 1999 and 2005 in Hood Canal- Washington.,
